Code,District,2009,2010,2011,2012,2013,Unemployment rate
AMP,Ampara,7.7,4.8,7.2,5.2,4.1,6
ANU,Anuradhapura,3.9,2.9,1.6,3,2.1,3.1
BAD,Badulla,4.1,4.7,3.4,3.7,3.9,3
BAT,Batticaloa,7.4,5.9,7.6,5.1,3.7,3.9
COL,Colombo,4.4,3.3,2.9,2.9,3,3.7
GAL,Galle,8.3,6.4,3.8,2.3,4.9,4.6
GAM,Gampaha,4.6,4.1,4,3.7,4.2,3.7
HAM,Hambantota,10.6,8.9,6.5,5.3,5.1,6.7
JAF,Jaffna,-,-,3.1,5.1,5.1,5.6
KAL,Kalutara,4.1,3.7,3.4,4,5.2,3.9
KAN,Kandy,9.7,9.6,8.1,7.2,4.7,5
KEG,Kegalle,7.2,5,5.4,2.9,7.4,7.8
KIL,Kilinochchi,-,-,9.3,7.2,7.9,7.6
KUR,Kurunegala,5.4,5.5,4.7,4.4,3.6,3.5
MAN,Mannar,-,-,8.1,5.1,5,2.9
MON,Matale,5.4,5.2,5,2.8,6.7,5.2
MTL,Matara,9.8,8.8,6,7,7.1,6.9
MTR,Moneragala,5.8,3,2.7,1.8,2.2,2.7
MUL,Mullaitivu,-,-,12.3,6.8,4.6,5.6
NUW,Nuwara Eliya,2.4,3,1.9,1.8,3.4,2.9
POL,Polonnaruwa,6.5,5.3,4.4,4.3,6.2,3.7
PUT,Puttalam,5.5,3,2,2.6,4.1,5.3
RAT,Ratnapura,4.8,4.2,3.1,4.4,4.6,3.7
TRI,Trincomalee,8,5.3,4.8,4.4,5.7,4.3
VAN,Vavuniya,-,-,4,4,4.2,3.9
